identifiant source	identifiant exercice	annotation 1																			annotation 2
autres-Developpez.com	Developpez-14-2-1.py	import de bibliothèque, initialisation de variable, input de données, cast, type float, calcul avec PI, division réel, affichage écran texte et valeur d'une variable, appel fonction print, opérateur arithmétique /, opérateur arithmétique *,entrées clavier, conversion de chaines de caractères, opérations numériques, import de bibliothèque,calcul à variables, import, variables, float, input, print,input, variables, operations, cast, import																			
autres-Developpez.com	Developpez-14-2-2.py	initialisation de variable, input de données, cast, type float, boucle while, affichage écran texte et valeur formaté d'une variable, appel fonction print, opérateur arithmétique *, condition booléen, opérateur booléen >,boucle while, entrée clavier, conversion de chaines de caractères, opérations numériques,while, input, float, fomat, calcul à variables,input, variables, while, operations, cast																			
autres-Developpez.com	Developpez-14-2-3.py	initialisation de variable, input de données, cast, type int, boucle while, affichage écran texte et valeur formaté d'une variable, appel fonction print, opérateur arithmétique *, condition booléen, opérateur booléen >, opérateur arithmétique +, affectation de variable, conditionnel, calcul d'une somme d'entier.,boucle while, entrée clavier, conversion de chaines de caractères, opérations numériques, incrémentation d'une variable,while, input, if ,while, comparaison, incrémentation, cast, if, comparaison, input, variable																			
autres-Developpez.com	Developpez-14-2-4.py	,opération modulo, entrée clavier, conversion de chaines de caractères, test, affichage d'une chaine de caractères,while, int, input, if else, if, parité, entier positif requis,operation, division, input, print, modulo, comparaison																			
autres-Developpez.com	Developpez-14-2-5.py	,boucle while, entrée clavier, conversion de chaines de caractères, opérations numériques, incrémentation d'une variable, affichage d'un nombre,input, while, print, iterations, entier positif requis,input, cast, while, incrémentation, print, operation comparaison																			
autres-Developpez.com	Developpez-14-2-6.py	,boucle while, entrée clavier, conversion de chaines de caractères, opérations numériques, incrémentation d'une variable, concaténation, affichage d'une chaine de caractères,while, if, diviseurs, modulo operator, prime number, entier positif requis, multiple objectifs,input, cast, while, comparaison, modulo, if, comparaison, print																			
autres-Developpez.com	Developpez-14-2-7.py	,création de fonction, boucle while, entrée clavier, conversion de chaines de caractères, opérations numériques, incrémentation d'une variable, affichage d'un nombre,def, fonction, factorielle, for, exponentielle, formule mathématique,for, variables operations, flottants																			
autres-Developpez.com	Developpez-14-2-8.py	,création de fonction, entrée clavier, conversion de chaines de caractères, conversion d'unités, opérations numériques, concaténation, affichage d'une chaine de caractères,def, calcul à variables, int, input, print format, énoncé de situation,operations, fonctions avec paramêtres, fonction, multiplication, division, print																			
autres-Developpez.com	Developpez-14-2-9.py	,création de fonction, entrée clavier, conversion de chaines de caractères, opérations numériques, affichage d'un nombre, affichage d'une chaine de caractères,def, calcul à variables, return, input, print, if, else, int, fonction avec plusieurs paramètres, énoncé de situation,fonctions, fonctions avec paramêtres, fonction qui renvoie, addition, multiplication, division																			
autres-Developpez.com	Developpez-14-2-10.py	,boucle, création de fonction, calculs numériques, concaténation, affichage d'une chaine de caractères,def, calcul à variables, while, print format, print, modulo operator, int, énoncé de situation,print, fonction, fonction avec paramêtre, for, while, comparaison, variable, appel de fonction, appel de fonction avec paramêtre,																			
autres-Developpez.com	Developpez-14-2-11.py	,,def, plusieurs fonctions, return, for, if complexe, print format, print,fonctions, fonctions avec paramêtres, fonction qui renvoie, input, cast, variables, chaines de caractères, appel de fonction, print,  																			
autres-Developpez.com	Developpez-14-2-12.py	,,def, random,randint, seed, list, for, formation rapide de liste, echange d'éléments d'une liste, minimum d'une liste, min, index, print, programme principal et fonction secondaire,import, gestion de l'aléatoire, création de liste, trouver le minimum d'une liste, accès aux éléments d'une liste, affectation à une liste, fonctions, fonction avec paramêtres, fonction qui renvoi, appel de fonction																			
autres-Developpez.com	Developpez-14-2-13.py	,,programme principal et fonction secondaire, def, return, random, seed, float, formule mathématique, while, while not, and, formation rapide de liste, list, for, input,import, gestion de l'aléatoire, utilisation de flottants, input, cast, cast en int, fonctions, fonction avec paramêtre, fonction qui renvoie, print, construction de listes, accès au minimum d'une liste, accès au maximum d'une liste, accès aux éléments d'une liste																			
autres-Developpez.com	Developpez-14-2-14.py	,,def, plusieurs objectifs, n-uplets, tuples, return, list, for, if, min, max, moyenne, float, print, formule mathématique,fonctions, fonction qui renvoie, fonction avec paramêtre, accès au minimum d'une liste, accès au maximum d'une liste, parcours d'une liste, comparaison, if, for, opérations																			
autres-Developpez.com	Developpez-14-2-15.py	,,roman numbers, input, while, manipulation de variables, manipulation d'entiers, manipulation de chaine de caractères, string, int, if, print, conditions à la suite,input, cast, variables, while, if, comparaisons, opérations, print, manipulation d'entiers, manipulation de string																			
autres-Developpez.com	Developpez-14-2-16.py	,,,utilisation de la bibliothèque standard, utilisation de la fonction zip, utilisations des listes, création de listes, while, opérations, utilisations de variables, fonctions, fonction avec paramêtre, fonction qui renvoi, manipulation de string,  print																			
autres-Developpez.com	Developpez-14-2-17.py	,,,import, gestion de l'aléatoire, fonctions, fonction à paramêtres, fonction qui renvoie, input, cast, parcours de liste, if, print, comparaison, opérations																			
autres-Developpez.com	Developpez-14-2-18.py	,,,import, gestion de l'aléatoire, fonctions, fonction à paramêtres, fonction qui renvoie, input, cast, utilisation de set, if, print, comparaison, variables																			
autres-Developpez.com	Developpez-14-2-19.py	,,,variable, input, double boucle, boucle, print, opérations, manipulation d'entiers																			
autres-Developpez.com	Developpez-14-2-20.py	,,,variable, input, double boucle, boucle, print, opérations, manipulation d'entiers, triples boucles																			
