identifiant énoncé exercice	identifiant solution exercice	
IUTLabarre_02_01_01.txt	IUTLabarre_02_01_01.py	utilisation fonction input, utilisation du modulo, affichage du resultat en fonction d'une condition, utilisation if/else, affectation de valeur dans une variable, transtypage int,déclaration de variables, variables d'entiers, instructions conditionnelles, saisie clavier, transtypage, modulo, test booleen, fonctions natives, affichage de caractères,int, input, variables, if, if else, modulo, parité d'un nombre, booléen, print, string, comparaisons d'entiers, égal à
IUTLabarre_02_01_02.txt	IUTLabarre_02_01_02.py	utilisation fonction input, utilisation du modulo,affectation de valeur dans une variable, transtypage int, utilisation if, utlisation de la différence avec "!", ,déclaration de fonction, variables d'entiers, instructions conditionnelles, saisie clavier, affichage de caractères, test booleen, variables, modulo, arrêt d'une fonction,int, input, variables, if, modulo, parité d'un nombre, booléen, print, string, comparaisons d'entiers, égal à, différent de, no else
IUTLabarre_02_01_03.txt	IUTLabarre_02_01_03.py	definition d'une fonction, demande et affectation de valeur dans une variable avec input et transtypage, utilisation if, utilisation du modulo, Connaissance condition d'arrêt d'une fonction,déclaration de variable, import de fonction depuis un module, utilisation du module random, instructions conditionnelles, conditions imbriquées, transtypage, fonctions natives, utilisation de variables aléatoires, incrémentation de variable, saisie clavier, test booleens, calcul sur variable, construction de chaines de caractères, affichage de caractères,def, return, int, input, variables, if, modulo, parité d'un nombre, booléen, comparaisons d'entiers, égal à, print, return break, early return
IUTLabarre_02_02_01.txt	IUTLabarre_02_02_01.py	utilisation module random, utilisation fonction randint, demande et affectation de valeur avec transtypage dans une variable, utilisation de variable d'incrémentation, utilisation if/else, comparaison entre deux variables, transtypage avec str d'une variable entière, utilisation de bloc if/else imbriqué, réutilisation de code, affichage avec concaténation de chaine entre texte et variable,déclaration de variable, import de fonction depuis un module, utilisation du module random, instructions conditionnelles, conditions imbriquées, transtypage, fonctions natives, utilisation de variables aléatoires, incrémentation de variable, saisie clavier, test booleens, calcul sur variable, comparaisons d'entiers, construction de chaines de caractères, affichage de caractères,interface utilisateur, print, input, int, cast, comparaisons d'entiers, égal à, booléen, if, if else, from import, random, random randint, manipulation de variables, structure conditionnelle, no loops
IUTLabarre_02_02_02.txt	IUTLabarre_02_02_02.py	utilisation module random, utilisation fonction randint, demande et affectation de valeur avec transtypage dans une variable, utilisation de variable d'incrémentation, incrémentation de variable, utilisation if/else, comparaison entre deux variables, transtypage avec str d'une variable entière, utilisation de bloc if/else imbriqué, réutilisation de code, affichage avec concaténation de chaine entre texte et variable, savoir comparer deux variables,déclaration de fonctions, déclaration de variable, import de fonction depuis un module, utilisation du module random, instructions conditionnelles, conditions imbriquées, transtypage, fonctions natives, utilisation de variables aléatoires, incrémentation de variable, saisie clavier, test booleens, calcul sur variable, comparaisons d'entiers, construction de chaines de caractères, utilisations de boucles, boucles sur variables, utilisation d'itérables, arrêt d'une fonction, affichage de caractères,interface utilisateur, print, input, int, cast, comparaisons d'entiers, égal à, inférieur à, booléen, if, if else, from import, random, random randint, manipulation de variables, structure conditionnelle, no loops
IUTLabarre_02_02_03.txt	IUTLabarre_02_02_03.py	utilisation module random, utilisation fonction randint, demande et affectation de valeur avec transtypage dans une variable, utilisation de variable d'incrémentation, utilisation if/else, comparaison entre deux variables, transtypage avec str d'une variable entière, utilisation de bloc if/else imbriqué, réutilisation de code, affichage avec concaténation de chaine entre texte et variable, savoir comparer deux variables, annoncer à l'utilisateur une erreur dans la saisie, arrêt d'une fonction en fonction d'une condition,déclaration de variable, saisie clavier, transtypage, ,interface utilisateur, print, input, int, cast, comparaisons d'entiers, égal à, inférieur à, booléen, if, if else, from import, random, random randint, manipulation de variables, structure conditionnelle, no loops, vérification d'input, for in input
IUTLabarre_02_03_01.txt	IUTLabarre_02_03_01.py	utlisation de fonction input, demande à l'utilisateur de rentrer une valeur avec un texte,déclaration de variable, variable d'entiers, variables chaine de caractère, saisie clavier, transtypage, construction de chaine de caractères, instructions conditionnelles, conditions multiples, modulo, test booleens,int, input, variables, string, interface utilisateur
IUTLabarre_02_03_02.txt	IUTLabarre_02_03_02.py	utlisation de fonction input, demande à l'utilisateur de rentrer une valeur avec un texte, utilisation de chaine de caractère, utilsation du modulo, utilisation if/else, utilisation de elif,déclaration de variable, variable d'entiers, variables chaine de caractère,  saisie clavier, transtypage, construction de chaine de caractères, instructions conditionnelles, conditions multiples, opérateurs booleens, modulo, test booleens,int, input, variables, string, interface utilisateur, print, if, elif, else, modulo, divisibles, structure conditionnelle, booléen, manipulation de message, pas d'opérateurs booléens
IUTLabarre_02_03_03.txt	IUTLabarre_02_03_03.py	utlisation de fonction input, demande à l'utilisateur de rentrer une valeur avec un texte, utilisation de chaine de caractère, utilsation du modulo, utilisation opérateur booléen, utilisation d'un if à plusieurs conditions, utilisation opérateur or,  affichage de chaine de caractère en fonction d'une condition,déclaration de variable, variable d'entiers, variables chaine de caractère, saisie clavier, transtypage, construction de chaine de caractères, instructions conditionnelles, modulo, test booleens, condition multiples, opérateurs booleens,int, input, variables, string, interface utilisateur, print, if else, or, modulo, divisibles, structure conditionnelle, booléen, manipulation de message, only one if 
IUTLabarre_02_03_04.txt	IUTLabarre_02_03_04.py	utlisation de fonction input, demande à l'utilisateur de rentrer une valeur avec un texte, utilisation de chaine de caractère, utilsation du modulo, utilisation opérateur booléen, utilisation de plusieurs if, utilisation opérateur and, utlisation de la différence avec "!", affichage de chaine de caractère en fonction d'une condition,déclaration de variable, variable d'entiers, variables chaine de caractère, variables de booleens,  saisie clavier, transtypage, construction de chaine de caractères, instructions conditionnelles, modulo, test booleens, condition multiples,int, input, variables, string, interface utilisateur, print, if, and, différent de, modulo, divisibles, structure conditionnelle, booléen
